jeune,young,youthful,new,juvenile,immature,fresh
le soldat, soldier, trooper, warrior, serviceman, fighter, private
la chemise, shirt, blouse, dress shirt, top, garment,
l'exemple, example, instance, model, sample, illustration, case
la grève, strike, protest, walkout, work stoppage, picket,
la chaise, chair, seat, furniture, stool, armchair, bench
l'univers, universe, cosmos, world, space, creation, macrocosm
la commande, command, order, control, request, instruction,
la condition, condition, state, term, requirement, circumstance,
le défi, challenge, dare, test, contest, provocation, difficulty
le billet, ticket, note, bill, pass, entry ticket, banknote
la vue, view, sight, outlook, panorama, opinion, vision
le programme, program, schedule, software, plan, show
le brun, brown, tan, brunette, earthy, chocolate, beige
le lavage, washing, clear, rinse, bath
la société, society, company, corporation, community, association,
la libération, release, liberation, freedom, discharge, emancipation,
la naissance, birth, nativity, origin, beginning, delivery,
la recherche, research, search, investigation, study, inquiry,
l'invité, guest, visitor, invitee, attendee, customer, host
l'ascenseur, lift, elevator, hoist, escalator, rising device,
l'opinion, opinion, view, belief, judgment, thought, perspective
le caractère, character, personality, nature, letter, trait, symbol
la montagne, mountain, peak, hill, range, mount, alp
la chaleur, heat, warmth, temperature, hotness, fever, passion
la cravate, tie, necktie, bow tie, link, connection, bond
le shérif, sheriff, lawman, constable, peace officer, marshal,
la couleur, color, hue, shade, tint, pigment, tone
l'épée, sword, blade, saber, rapier, weapon, foil
le laboratoire, lab, laboratory, workshop, research facility, test site,
la balle, bullet, ball, shot, projectile, sphere, slug
la preuve, proof, evidence, testimony, verification, confirmation,
la base, base, foundation, basis, bottom, headquarters, alkali
la crème, cream, lotion, dairy cream, best part, elite, ointment
le bruit, noise, sound, din, racket, clamor, disturbance
le total, total, sum, whole, entirety, aggregate, complete
le gang, gang, band, group, crew, syndicate, mob
le bonheur, happiness, joy, bliss, contentment, delight, pleasure
la joie, joy, delight, gladness, happiness, glee, elation
la femelle, female, she, woman, girl, hen, doe
le tirage, draw, printing, lottery draw, edition, pull, shot
le mâle, male, he, man, boy, buck, bull
la morsure, bite, nip, sting, chew, wound, grip
la douche, shower, rain shower, bath, spray, downpour,
le public, audience, public, crowd, spectators, viewers,
le but, purpose, goal, aim, objective, target, end
le destin, fate, destiny, fortune, lot, kismet, doom
la vis, screw, bolt, thread, twist, propeller, vise
le monsieur, gentleman, Mr., sir, man, master,
le médicament, medicine, drug, medication, remedy, pill, treatment
la responsabilité, responsibility, liability, duty, accountability, burden,
la discussion, talk, discussion, debate, conversation, argument,
la scission, split, division, schism, separation, break, rift
le poids, weight, heaviness, burden, load, importance, mass
l'unité, unit, unity, module, department, single, measure
le cochon, pig, swine, hog, boar, pork, glutton
le bureau, desk, office, study, workplace, bureau, agency
le doigt, finger, digit, pointer, index, toe, feeler
la piscine, pool, swimming pool, pond, billiard pool, tank,
la focalisation, focus, concentration, focal point, centering, attention,
le jardin, garden, yard, park, plot, orchard, flowerbed
la propriété, property, ownership, estate, asset, quality, characteristic
le maire, mayor, burgomaster, town leader, head of city, magistrate,
je suis, I am, I have, I was, I will be, mine, you are, he is, she is
tu es, you are, you have, you were, yours, he is, she is, we are, they are
il est, he is, he has, he was, his, she is, it is, they are, you are
elle est, she is, she has, she was, hers, he is, it is, they are, you are
nous sommes, we are, we have, we were, ours, you are, they are, I am, he is
vous êtes, you are, you have, you were, yours, he is, we are, they are, I am
ils sont, they are, they have, they were, theirs, he is, she is, we are, you are
elles sont, they are, they have, they were, theirs, he is, she is, we are, you are
le problème, issue, problem, difficulty, trouble, matter, question
le copain, pal, friend, buddy, mate, chum, companion
l'entretien, interview, maintenance, conversation, upkeep, discussion,
le ventilateur, fan, blower, ventilator, admirer, enthusiast,
le signal, signal, sign, indication, beacon, cue, warning
le silence, silence, quiet, stillness, hush, peace, muteness
la chirurgie, surgery, operation, surgical procedure, medical operation,,
le préjudice, harm, damage, prejudice, injury, detriment, wrong
le personnel, staff, personnel, employees, workforce, team,
le chef, chef, boss, head, leader, cook, chief
les temps, weather, time, period, tense, duration,
la distance, distance, space, gap, range, remoteness, length
le processus, process, procedure, method, course, operation,
la saison, season, time of year, period, spice, seasoning,
l'accès, access, entry, admission, approach, entrance, availability
le modèle, model, pattern, example, prototype, mannequin, design
le chemin, route, patch, road, route, track, course
le russe, russian, Russian language, from Russia, Slavic,,
le membre, member, limb, participant, part, affiliate,
le style, style, fashion, manner, type, elegance, design
l'alarme, alarm, alert, warning, siren, fright, signal
le japonais, japanese, Japanese language, from Japan, Nippon,,
le sucre, sugar, sweetener, sucrose, candy, sweet,
le toit, roof, ceiling, top, housetop, shelter, canopy
les funérailles, funeral, burial, obsequies, rites, ceremony,
le dommage, damage, harm, injury, loss, detriment, pity
l'estomac, stomach, belly, abdomen, gut, tummy, digestive organ
le pain, bread, loaf, food, bakery, item, staple
la neige, snow, snowfall, white flakes, winter cover, powder,
le château, castle, palace, fortress, mansion,
le discours, speech, talk, address, oration, lecture, language
le bloc, block, cube, building block, barrier, group,
la secousse, shake, jolt, tremor, shock, jerk, vibration
la fouille, dig, search, excavation, frisk, probe, investigation
le poste, post, position, job, mail, station, office
la réalité, reality, actuality, truth, real world, fact,
le football, football, soccer, American football, sport, game,
la diffusion, broadcasting,spread, dissemination, transmission, distribution,
le manteau, coat, overcoat, jacket, layer, covering, cloak
la poitrine, chest, breast, bosom, thorax, box, trunk
le succès, success, achievement, victory, triumph, hit, accomplishment
la madame, madame, Mrs., lady, ma'am, gentlewoman,
la sécurité, safety, security, protection, assurance, safeguard,
la permission, permission, permit, leave, authorization, consent,
la fantaisie, fancy, fantasy, imagination, whim, notion,
la théorie, theory, hypothesis, idea, concept, speculation,
le portail, gate, gateway, portal, entrance, door,
la peinture, paint, painting, coating, artwork, picture,
l'amoureux, lover, sweetheart, boyfriend, romantic, admirer,
l'humeur, mood, humor, temper, disposition, atmosphere,
la tempête, storm, tempest, gale, thunderstorm, uproar,
la page, page, sheet, webpage, leaf, side,
le prêtre, priest, clergyman, minister, padre, father,
le regret, regret, remorse, sorrow, disappointment, lament,
le contrat, contract, agreement, deal, pact, bond,
le voleur, thief, robber, burglar, stealer, pickpocket,
j'ai, I have, I am, I had, I will have, mine, you have, he has, she has
tu as, you have, you are, you had, yours, he has, she has, we have, they have
il a, he has, he is, he had, his, she has, it has, they have, you have
elle a, she has, she is, she had, hers, he has, it has, they have, you have
nous avons, we have, we are, we had, ours, you have, they have, I have, he has
vous avez, you have, you are, you had, yours, he has, we have, they have, I have
ils ont, they have, they are, they had, theirs, he has, she has, we have, you have
elles ont, they have, they are, they had, theirs, he has, she has, we have, you have
le divorce, divorce, separation, split, dissolution, breakup,
la leçon, lesson, class, teaching, moral, lecture,
la communauté, community, society, group, neighborhood, fellowship,
le sujet, subject, topic, theme, citizen, matter,
le loyer, rent, rental, lease, tenancy, payment,
la vengeance, revenge, vengeance, retribution, payback, reprisal,
le commerce, trade, business, dealing, traffic,
la forêt, forest, woodland, woods, jungle, grove,
la ruée, rush, stampede, surge, gold rush, dash, onrush
le propriétaire, owner, proprietor, landlord, possessor, holder,
le montant, amount, sum, total, quantity, figure,
l'artiste, artist, performer, painter, creator, musician,
la poche, pocket, pouch, bag, compartment, small sack,
le cancer, cancer, carcinoma, disease, crab, zodiac sign,
la paire, pair, couple, duo, two, set, brace
la ruine, ruin, wreckage, destruction, collapse, decay,
le grand-père, grandfather, grandpa, grandad, ancestor,,
le vélo, bike, bicycle, cycle, two-wheeler, pedal bike,
j'ai été, I was, I have been, I am, I had, he was, you were, we were, they were
tu as été, you were, you have been, you are, you had, he was, she was, we were, they were
il a été, he was, he has been, he is, he had, she was, it was, they were, you were
j'ai eu, I had, I have, I was, I will have, he had, you had, we had, they had
tu as eu, you had, you have, you were, you will have, he had, she had, we had, they had
il a eu, he had, he has, he was, he will have, she had, it had, they had, you had
la perte, loss, defeat, waste, bereavement, leakage,
le menteur, liar, deceiver, fibber, storyteller, falsifier,
l'hiver, winter, cold season, wintertime, frost, chill,
l'assistant, assistant, helper, aide, deputy, support,
le meurtrier, murderer, killer, assassin, slayer, homicide,
la ferme, farm, farmhouse, estate, ranch, holding,
la langue, language / tongue, speech, idiom, dialect,
la toilette, toilet, lavatory, restroom, bathroom, WC,
le génie, genius, genie, spirit, brilliance, talent,
le carré, square, plaza, block, squared, four-sided,
le secrétaire, secretary, clerk, assistant, minister, typist,
la connexion, connection, link, junction, network, bond,
normalement,normally,especially,eventually,finelly,usually
généralement,usually,especially,eventually,finelly,normally
l'en bas, downstairs, below, beneath, at the bottom, lower level,
la chambre, bedroom, room, chamber, hall, compartment,
le professionnel, professional, expert, pro, specialist, practitioner,
je vais être, I am going to be, I will be, I have been, I was, I am, you are going to be, he is going to be
tu vas être, you are going to be, you will be, you have been, you were, you are, he is going to be, we are going to be
il va être, he is going to be, he will be, he has been, he was, he is, she is going to be, they are going to be
je vais avoir, I am going to have, I will have, I have had, I had, I have, you are going to have, he is going to have
tu vas avoir, you are going to have, you will have, you have had, you had, you have, he is going to have, we are going to have
il va avoir, he is going to have, he will have, he has had, he had, he has, she is going to have, they are going to have
je vais pouvoir, I am going to be able to, I will be able to, I can, I could, I was able to, you are going to be able to, he is going to be able to
tu vas pouvoir, you are going to be able to, you will be able to, you can, you could, you were able to, he is going to be able to, we are going to be able to
la tour, turn, tour,tower, trick, rotation, trip
le joueur, player, gamer, athlete, participant, performer,
l'argent, silver, money, currency, argentum, cash,
la pitié, pity, compassion, mercy, sympathy, regret,
l'horloge, clock, timepiece, watch, timer, chronometer,
l'océan, ocean, sea, deep, marine, vast water,
le crash, crash, collision, breakdown, failure, smash,
le bain, bath, bathing, bathtub, soak, wash,
la fortune, fortune, wealth, luck, fate, riches, destiny
le siècle, century, 100 years, era, age, period,
l'assurance, insurance, assurance, confidence, guarantee, certainty,
l'aéroport, airport, aerodrome, airfield, terminal, air hub,
le temple, temple, shrine, church, sanctuary, place of worship,
la connaissance, knowledge, acquaintance, familiarity, awareness, understanding,
la carte, map, card, menu, chart, ticket,
la toiture,roofing,foot,ton,car,valet
retenir,to retain / to remember,come,become,return,tentative,reflect
l'outil,tool,utilisation,outrage,patrol,overwhelm,own
dehors,outside,devide,countryside,aside,derive
